topology,alpha,seed,spectral_gap,round,avg_acc,worst_acc
line,0.5,2,0.0326289891365642,46,0.8882099999999999,0.8721
line,0.5,2,0.0326289891365642,47,0.88688,0.8678
line,0.5,2,0.0326289891365642,48,0.8859899999999999,0.8706
line,0.5,2,0.0326289891365642,49,0.88817,0.8722
line,0.5,2,0.0326289891365642,50,0.88491,0.8649
line,0.1,0,0.0326289891365642,1,0.2734,0.1684
line,0.1,0,0.0326289891365642,2,0.40998,0.3136
line,0.1,0,0.0326289891365642,3,0.44878,0.3537
line,0.1,0,0.0326289891365642,4,0.47817,0.3465
line,0.1,0,0.0326289891365642,5,0.50767,0.3778
line,0.1,0,0.0326289891365642,6,0.5264599999999999,0.411
line,0.1,0,0.0326289891365642,7,0.53918,0.4234
line,0.1,0,0.0326289891365642,8,0.55254,0.4485
line,0.1,0,0.0326289891365642,9,0.55793,0.4539
line,0.1,0,0.0326289891365642,10,0.5648,0.4681
line,0.1,0,0.0326289891365642,11,0.5718799999999999,0.4678
line,0.1,0,0.0326289891365642,12,0.57227,0.4739
line,0.1,0,0.0326289891365642,13,0.58209,0.4736
line,0.1,0,0.0326289891365642,14,0.587,0.4781
line,0.1,0,0.0326289891365642,15,0.59229,0.478
line,0.1,0,0.0326289891365642,16,0.5894199999999999,0.4779
line,0.1,0,0.0326289891365642,17,0.59785,0.4794
line,0.1,0,0.0326289891365642,18,0.59871,0.4822
line,0.1,0,0.0326289891365642,19,0.60712,0.4827
line,0.1,0,0.0326289891365642,20,0.60748,0.4865
line,0.1,0,0.0326289891365642,21,0.6155,0.4805
line,0.1,0,0.0326289891365642,22,0.61088,0.4841
line,0.1,0,0.0326289891365642,23,0.62188,0.4889
line,0.1,0,0.0326289891365642,24,0.61827,0.485
line,0.1,0,0.0326289891365642,25,0.6267199999999999,0.4925
line,0.1,0,0.0326289891365642,26,0.62522,0.4861
line,0.1,0,0.0326289891365642,27,0.62984,0.5037
line,0.1,0,0.0326289891365642,28,0.63057,0.4917
line,0.1,0,0.0326289891365642,29,0.6334299999999999,0.4973
line,0.1,0,0.0326289891365642,30,0.63179,0.4934
line,0.1,0,0.0326289891365642,31,0.63068,0.4923
line,0.1,0,0.0326289891365642,32,0.6383,0.5056
line,0.1,0,0.0326289891365642,33,0.63994,0.5081
line,0.1,0,0.0326289891365642,34,0.64359,0.5045
line,0.1,0,0.0326289891365642,35,0.64517,0.5216
line,0.1,0,0.0326289891365642,36,0.64525,0.5077
line,0.1,0,0.0326289891365642,37,0.6475799999999999,0.525
line,0.1,0,0.0326289891365642,38,0.64438,0.5125
line,0.1,0,0.0326289891365642,39,0.6415200000000001,0.5039
line,0.1,0,0.0326289891365642,40,0.65323,0.5235
line,0.1,0,0.0326289891365642,41,0.64604,0.5119
line,0.1,0,0.0326289891365642,42,0.6469199999999999,0.5035
line,0.1,0,0.0326289891365642,43,0.6542899999999999,0.525
line,0.1,0,0.0326289891365642,44,0.6489,0.515
line,0.1,0,0.0326289891365642,45,0.65578,0.5115
line,0.1,0,0.0326289891365642,46,0.64908,0.5129
line,0.1,0,0.0326289891365642,47,0.65883,0.5237
line,0.1,0,0.0326289891365642,48,0.66119,0.5146
