topology,alpha,seed,spectral_gap,round,avg_acc,worst_acc
star,0.1,4,0.09999999999999865,45,0.59838,0.4652
star,0.1,4,0.09999999999999865,50,0.61307,0.488
star,0.1,5,0.09999999999999865,5,0.43461,0.2413
star,0.1,5,0.09999999999999865,10,0.46109,0.2663
star,0.1,5,0.09999999999999865,15,0.47452000000000005,0.2476
star,0.1,5,0.09999999999999865,20,0.48363000000000006,0.2725
star,0.1,5,0.09999999999999865,25,0.48726,0.3013
star,0.1,5,0.09999999999999865,30,0.49519,0.2871
star,0.1,5,0.09999999999999865,35,0.49650999999999995,0.3101
star,0.1,5,0.09999999999999865,40,0.52269,0.3431
star,0.1,5,0.09999999999999865,45,0.5273,0.3738
star,0.1,5,0.09999999999999865,50,0.549,0.3963
star,0.1,6,0.09999999999999865,5,0.5442400000000001,0.3982
star,0.1,6,0.09999999999999865,10,0.56433,0.4137
star,0.1,6,0.09999999999999865,15,0.57426,0.37
star,0.1,6,0.09999999999999865,20,0.57955,0.416
star,0.1,6,0.09999999999999865,25,0.59106,0.4162
star,0.1,6,0.09999999999999865,30,0.59801,0.4186
star,0.1,6,0.09999999999999865,35,0.6188100000000001,0.4283
star,0.1,6,0.09999999999999865,40,0.63178,0.464
star,0.1,6,0.09999999999999865,45,0.63767,0.4641
star,0.1,6,0.09999999999999865,50,0.64037,0.4746
star,0.1,7,0.09999999999999865,5,0.422,0.2068
star,0.1,7,0.09999999999999865,10,0.4524,0.2443
star,0.1,7,0.09999999999999865,15,0.45933999999999997,0.2378
star,0.1,7,0.09999999999999865,20,0.45891000000000004,0.2501
star,0.1,7,0.09999999999999865,25,0.46721,0.2767
star,0.1,7,0.09999999999999865,30,0.47058999999999995,0.2878
star,0.1,7,0.09999999999999865,35,0.47592999999999996,0.2836
star,0.1,7,0.09999999999999865,40,0.48162000000000005,0.2542
star,0.1,7,0.09999999999999865,45,0.48156,0.2605
star,0.1,7,0.09999999999999865,50,0.49754,0.2679
star,0.1,8,0.09999999999999865,5,0.54999,0.3481
star,0.1,8,0.09999999999999865,10,0.5665,0.3421
star,0.1,8,0.09999999999999865,15,0.5899300000000001,0.4498
star,0.1,8,0.09999999999999865,20,0.59817,0.4533
star,0.1,8,0.09999999999999865,25,0.60171,0.4335
star,0.1,8,0.09999999999999865,30,0.6214999999999999,0.4634
star,0.1,8,0.09999999999999865,35,0.62651,0.4861
star,0.1,8,0.09999999999999865,40,0.6392800000000001,0.487
star,0.1,8,0.09999999999999865,45,0.64695,0.509
star,0.1,8,0.09999999999999865,50,0.65155,0.5117
star,0.1,9,0.09999999999999865,5,0.45244999999999996,0.2604
star,0.1,9,0.09999999999999865,10,0.49959999999999993,0.2845
star,0.1,9,0.09999999999999865,15,0.50399,0.288
star,0.1,9,0.09999999999999865,20,0.5121100000000001,0.2888
star,0.1,9,0.09999999999999865,25,0.51911,0.286
star,0.1,9,0.09999999999999865,30,0.52664,0.2934
star,0.1,9,0.09999999999999865,35,0.52629,0.2616
star,0.1,9,0.09999999999999865,40,0.54804,0.3089
star,0.1,9,0.09999999999999865,45,0.57257,0.2781
star,0.1,9,0.09999999999999865,50,0.58165,0.2761
hybrid,100.0,0,0.053775826240683555,5,0.8786400000000001,0.8758
hybrid,100.0,0,0.053775826240683555,10,0.89559,0.8939
hybrid,100.0,0,0.053775826240683555,15,0.90418,0.9011
hybrid,100.0,0,0.053775826240683555,20,0.9083500000000001,0.9058
hybrid,100.0,0,0.053775826240683555,25,0.90891,0.907
hybrid,100.0,0,0.053775826240683555,30,0.91096,0.9084
hybrid,100.0,0,0.053775826240683555,35,0.9118999999999999,0.9088
hybrid,100.0,0,0.053775826240683555,40,0.9124399999999999,0.908
hybrid,100.0,0,0.053775826240683555,45,0.91198,0.9085
hybrid,100.0,0,0.053775826240683555,50,0.91343,0.9103
hybrid,100.0,1,0.053775826240683555,5,0.8795400000000001,0.878
hybrid,100.0,1,0.053775826240683555,10,0.8979800000000001,0.8954
hybrid,100.0,1,0.053775826240683555,15,0.90709,0.9046
hybrid,100.0,1,0.053775826240683555,20,0.90908,0.9065
hybrid,100.0,1,0.053775826240683555,25,0.9136,0.911
hybrid,100.0,1,0.053775826240683555,30,0.9136900000000001,0.9098
hybrid,100.0,1,0.053775826240683555,35,0.91317,0.9098
hybrid,100.0,1,0.053775826240683555,40,0.9132199999999999,0.9095
hybrid,100.0,1,0.053775826240683555,45,0.91347,0.911
hybrid,100.0,1,0.053775826240683555,50,0.9144,0.9092
hybrid,100.0,2,0.053775826240683555,5,0.87614,0.8733
hybrid,100.0,2,0.053775826240683555,10,0.89686,0.8945
hybrid,100.0,2,0.053775826240683555,15,0.90744,0.9052
hybrid,100.0,2,0.053775826240683555,20,0.91091,0.9076
hybrid,100.0,2,0.053775826240683555,25,0.9133800000000001,0.9109
hybrid,100.0,2,0.053775826240683555,30,0.91358,0.9103
hybrid,100.0,2,0.053775826240683555,35,0.9138400000000001,0.9115
hybrid,100.0,2,0.053775826240683555,40,0.9146000000000001,0.9117
hybrid,100.0,2,0.053775826240683555,45,0.91433,0.9102
hybrid,100.0,2,0.053775826240683555,50,0.91388,0.9106
hybrid,100.0,3,0.053775826240683555,5,0.8781599999999999,0.8714
hybrid,100.0,3,0.053775826240683555,10,0.89656,0.8936
hybrid,100.0,3,0.053775826240683555,15,0.9044599999999999,0.9014
hybrid,100.0,3,0.053775826240683555,20,0.90947,0.907
hybrid,100.0,3,0.053775826240683555,25,0.9105800000000001,0.9082
hybrid,100.0,3,0.053775826240683555,30,0.91224,0.9104
hybrid,100.0,3,0.053775826240683555,35,0.9121900000000001,0.9095
hybrid,100.0,3,0.053775826240683555,40,0.91388,0.9113
hybrid,100.0,3,0.053775826240683555,45,0.9125099999999999,0.9099
hybrid,100.0,3,0.053775826240683555,50,0.91342,0.9101
hybrid,100.0,4,0.053775826240683555,5,0.8773500000000001,0.8718
hybrid,100.0,4,0.053775826240683555,10,0.89582,0.8913
hybrid,100.0,4,0.053775826240683555,15,0.90388,0.9003
hybrid,100.0,4,0.053775826240683555,20,0.9096500000000001,0.9058
hybrid,100.0,4,0.053775826240683555,25,0.9139099999999999,0.9117
hybrid,100.0,4,0.053775826240683555,30,0.91371,0.9112
hybrid,100.0,4,0.053775826240683555,35,0.9159499999999999,0.9117
hybrid,100.0,4,0.053775826240683555,40,0.9159900000000001,0.9127
hybrid,100.0,4,0.053775826240683555,45,0.91579,0.9112
hybrid,100.0,4,0.053775826240683555,50,0.9174200000000001,0.9133
hybrid,100.0,5,0.053775826240683555,5,0.8777799999999999,0.873
hybrid,100.0,5,0.053775826240683555,10,0.89665,0.8947
hybrid,100.0,5,0.053775826240683555,15,0.9049099999999999,0.9007
hybrid,100.0,5,0.053775826240683555,20,0.90927,0.9076
hybrid,100.0,5,0.053775826240683555,25,0.9114699999999999,0.9076
hybrid,100.0,5,0.053775826240683555,30,0.91228,0.9086
hybrid,100.0,5,0.053775826240683555,35,0.91371,0.9115
hybrid,100.0,5,0.053775826240683555,40,0.91258,0.9084
hybrid,100.0,5,0.053775826240683555,45,0.91382,0.9107
hybrid,100.0,5,0.053775826240683555,50,0.9150600000000001,0.9106
hybrid,100.0,6,0.053775826240683555,5,0.8769199999999999,0.8743
hybrid,100.0,6,0.053775826240683555,10,0.8964700000000001,0.894
hybrid,100.0,6,0.053775826240683555,15,0.90438,0.9014
hybrid,100.0,6,0.053775826240683555,20,0.90995,0.9066
hybrid,100.0,6,0.053775826240683555,25,0.91197,0.9086
hybrid,100.0,6,0.053775826240683555,30,0.91372,0.9116
hybrid,100.0,6,0.053775826240683555,35,0.91454,0.9121
hybrid,100.0,6,0.053775826240683555,40,0.91525,0.912
hybrid,100.0,6,0.053775826240683555,45,0.9148400000000001,0.9129
hybrid,100.0,6,0.053775826240683555,50,0.91386,0.9123
hybrid,100.0,7,0.053775826240683555,5,0.8768699999999999,0.8743
hybrid,100.0,7,0.053775826240683555,10,0.8943999999999999,0.8934
hybrid,100.0,7,0.053775826240683555,15,0.90357,0.8989
hybrid,100.0,7,0.053775826240683555,20,0.9074,0.9041
hybrid,100.0,7,0.053775826240683555,25,0.91167,0.9092
hybrid,100.0,7,0.053775826240683555,30,0.9126099999999999,0.9093
hybrid,100.0,7,0.053775826240683555,35,0.9138,0.9121
hybrid,100.0,7,0.053775826240683555,40,0.9129099999999999,0.9091
hybrid,100.0,7,0.053775826240683555,45,0.9141999999999999,0.9103
hybrid,100.0,7,0.053775826240683555,50,0.9139099999999999,0.9118
hybrid,100.0,8,0.053775826240683555,5,0.87363,0.8698
hybrid,100.0,8,0.053775826240683555,10,0.8922800000000001,0.8883
hybrid,100.0,8,0.053775826240683555,15,0.90351,0.9016
hybrid,100.0,8,0.053775826240683555,20,0.90883,0.9065
hybrid,100.0,8,0.053775826240683555,25,0.9118499999999999,0.9086
hybrid,100.0,8,0.053775826240683555,30,0.91296,0.9102
hybrid,100.0,8,0.053775826240683555,35,0.9124800000000001,0.9096
hybrid,100.0,8,0.053775826240683555,40,0.91317,0.9096
hybrid,100.0,8,0.053775826240683555,45,0.9139900000000001,0.9114
hybrid,100.0,8,0.053775826240683555,50,0.91457,0.9122
hybrid,100.0,9,0.053775826240683555,5,0.87859,0.8752
hybrid,100.0,9,0.053775826240683555,10,0.8960800000000001,0.8935
hybrid,100.0,9,0.053775826240683555,15,0.90331,0.901
hybrid,100.0,9,0.053775826240683555,20,0.90948,0.9063
hybrid,100.0,9,0.053775826240683555,25,0.91073,0.9057
hybrid,100.0,9,0.053775826240683555,30,0.91273,0.9102
hybrid,100.0,9,0.053775826240683555,35,0.9128700000000001,0.9096
hybrid,100.0,9,0.053775826240683555,40,0.91375,0.9106
hybrid,100.0,9,0.053775826240683555,45,0.9146599999999999,0.9117
hybrid,100.0,9,0.053775826240683555,50,0.91401,0.9125
hybrid,0.5,0,0.053775826240683555,5,0.80852,0.7678
hybrid,0.5,0,0.053775826240683555,10,0.83887,0.801
hybrid,0.5,0,0.053775826240683555,15,0.85694,0.8233
